"","id","qid1","qid2","question1","question2","is_duplicate"
"289798",289797,367177,75339,"Do guys get boners when hugging a girl tight?","What's going on in a guy's mind while hugging a girl?",0
"290203",290202,375752,40973,"How does TheQot.com earn money?","How does WPBeginner.com earn money?",0
"290581",290580,62222,411884,"Convex lense bend toward principle axis why?","Why does light bend towards normal and not away from normal when traveling from a rarer to a denser medium?",0
"290852",290851,259663,412215,"What are some fabulous songs from Coke Studio (both India & Pakistan) ?","Which are the best performances of Coke studio, India & Pakistan?",1
"291505",291504,412937,412938,"What are some great four-word quotes?","What are some great two-worded quotes?",0
"291761",291760,413243,413244,"What are the necessary components for starting your own business?","What are the most necessary tasks to accomplish when starting a business?",1
"291816",291815,413319,124898,"What will be the best place to hire a professional for asbestos removal in Sydney?","Where can I hire highly professional and reputable experts in Sydney for asbestos removal?",0
"291915",291914,38139,202538,"How much does it cost to make an app like AroundMe?","How much would it cost to make an app like groafer?",0
"292092",292091,413620,91468,"I have 202 followers. How do I reach 300?","What is the easiest way to get followers on Quora?",0
"292679",292678,414318,414319,"I want to study psychology. What are some books available in Telugul?","I want to study psychology but don't want to make career in it. What should I do? How should I start and from where?",0
"292787",292786,414440,414441,"What is the difference between DHMS and BHMS? Which one is better?","What are the flaws of the IB Diploma?",0
"292926",292925,414609,414610,"Does prosecco go off?","Does unopened champagne go bad?",0
"293208",293207,414942,414943,"How can I take legal action against my employer while still working there?","How can you take legal actions against your employer?",1
"295336",295335,42625,9131,"What is the hottest business to start right now?","What is the best business, with the biggest potential to start right now?",1
"296162",296161,418321,418322,"Was jerry more jerk than tom in Tom and jerry?","Why was jerry the real jerk in tom and jerry?",1
"296890",296889,18339,419175,"Can we really earn money by playing fantasy cricket Dream11.com?","How does Dream11 make money?",0
"297612",297611,118351,80621,"What's Linux?","What is Linux?",1
"297700",297699,420089,420090,"Can I Fire my HOA manager?","My boss is disorganised, feels overwhelmed yet doesn't get results. He can't be fired, so how do I manage my boss for success?",0
"298380",298379,38128,420864,"How can I change the profile picture of my Google account on android?","How can I add my Google account to an Android emulator for API 21?",0
"298511",298510,300294,43223,"How do I become a commercial pilot in India?","What do I need to do to become a commercial pilot?",1
"298760",298759,421290,421291,"Would you be willing to get a tramp stamp for your significant other?","Where can I get the best tattoos in Goa? How much will be the cost for a two to four-inch tattoo in Goa?",0
"299126",299125,421722,421723,"Should I be worried of if I'm being sued by a hospital for an unpaid bill?","Why they rejects you at SSB, are you that bad or more than good enough for them?",0
"299309",299308,313389,44140,"Why we get a “runny” nose and possibly tears when we digest a spicy food?","Why do we get runny noses when we eat spicy food?",1
"299499",299498,422158,422159,"How far is China from legalizing same-sex marriage?","When will China legalize same sex marriage?",1
"299973",299972,133641,59166,"How do I control emotions and reactions in nervousness?","How can I control my emotions?",1
"300572",300571,75917,118125,"Which are the best ways to lose weight?","What is a good diet to lose weight?",1
"300684",300683,423498,423499,"What is the best way to use smartphone as a student?","How do you use your smartphone?",0
"300720",300719,298457,133334,"How true is it that cannabis can cure cancer?","Does cannabis oil made from indica plant really cure cancer?",1
"301011",301010,546,11804,"What is the best way to get traffic on your website?","How can I increase the traffic to my website?",1
"301056",301055,423911,423912,"What is the maximum size for an attachment in Facebook messages?","Is it possible to retrieve Facebook message attachments from a user that blocked you?",0
"301066",301065,423924,423925,"How long does orange juice keep in the fridge, once opened?","How long can I keep fresh juice in fridge?",0
"301636",301635,342055,331379,"Can we use spark plugs in diesel engines?","Why does petrol engines need spark plug but not diesel engines?",1
"302213",302212,425211,425212,"What would happen if Olympiaturm in Munich suddenly vanished?","What would happen if Munich suddenly vanished?",0
"302255",302254,184383,377536,"What is Metalizing?","What is Metal?",0
"302546",302545,168813,425555,"How should I prepare for it quiz?","How do I prepare for a Quizcraft quiz?",0
"302673",302672,281758,6653,"What are some ways to grow taller during puberty?","Does milk make you grow taller?",0
"303328",303327,9675,378141,"What are some DIY ways to remove scratches from car?","How do I get scratches out of a car?",1
"303610",303609,353307,138867,"Which is the most underrated Hollywood movies in the recent times?","Which are some of the most underrated hollywood movies?",1
"304150",304149,427359,427360,"What are the best ways to read research papers efficiently?","How costly is it to read research papers?",0
"304812",304811,428122,428123,"Hiring cycle at cubbon park?","Donald Trump and Hillary Clinton used to be friends. Why are they fighting against each other?",0
"304957",304956,428289,428290,"If I have to make 2 states in a country where 2 religions are equally likely in strength, should I divide based on religion or should I go secular?","Who play r 2 d 2 in star wars?",0
"305017",305016,428348,428349,"What is the correct English translation of the Spanish phrase ""que cosa""?","What is the correct English translation for the Spanish phrase ""que haces""?",0
"305484",305483,428889,428890,"Can we do a mobile recharge using the BHIM app?","How do I select state bank of Patiala in bhim app?",0
"305845",305844,224267,429302,"Does active in Messenger mean only Messenger, or can it mean in Facebook, without being on Messenger?","What does it mean when you have no icons at all after a message you've sent via Facebook Messenger?",0
"306022",306021,119582,221679,"What is your favorite color? Why?","What are your favorite colors?",1
"306060",306059,10761,429521,"What is the best way to lower SGOT/SGPT levels?","What does it mean to have a high value of AST (SGOT)?",0
"306321",306320,429818,429819,"How can one tackle the increasing air pollution in Delhi?","What can I do as an individual to control pollution in Delhi?",1
"307059",307058,202396,430685,"Indian Railways: What are the differences between the different classes of Air-Conditioned (AC) Coaches?","How is the Indian railway different from Indian mean time?",0
"308069",308068,431853,431854,"Which is the best and cheapest virtual dedicated server provider?","How do I select cheapest dedicated server?",1
"308080",308079,138993,128913,"How does Pinterest generate revenue? What is the company's business model?","How does Tumblr make money?",0
"308454",308453,432280,432281,"AAP in Delhi it is a step towards corruption free India?","AAP in Delhi. Is it a step towards a corruption free India?",1
"310240",310239,235975,434320,"What are some interesting areas of history that I could do undergraduate honors thesis in?","What are some interesting areas of art history that I could do undergraduate honors thesis in?",0
"310384",310383,434488,136061,"What are absolute monocytes on a blood test? What affects their levels?","What does it mean if your absolute monocytes are high?",1
"310581",310580,434721,112394,"What's a good way to get started writing a screenplay?","How do I start writing my own screenplay?",1
"310941",310940,20601,7530,"How could bringing in new 500 and 2000 rupee notes by the Indian govt eradicate black money?","How will the ban on 500 and 1000 rupee note stop black money?",1
"310990",310989,10566,67593,"What were the major effects of the cambodia earthquake, and how do these effects compare to the Andreanof Islands earthquake in 1957?","What were the major effects of the cambodia earthquake, and how do these effects compare to the Iquique earthquake in 1877?",1
"311019",311018,154019,435232,"What are the best ways of falling asleep quickly?","Is there any natural way to fall asleep whenever I want to?",0
"311045",311044,435265,435266,"Why do people get divorced? How much money do they lose?","Is there any way to get infinite money?",0
"311090",311089,435310,179644,"What are the applications that can use armature control to reduce speed and in the same time can use field control to reach the speed more than rated?","What are the applications that can use armature and field control in the same time in order to increase and decrease the speed?",1
"311456",311455,1313,271371,"How do I get off Quora?","How do you get out of Quora?",1
"312075",312074,436465,436466,"GN-Z11 is 32 billion light years away. But the age of the universe is 13.8 billion years. How this can be explained?","Do higher authorities in Christian and Islam religion accept that creation of the observable universe took place around 13.8 billion years ago?",0
"312107",312106,273176,436498,"Which is a better web development framework: Django or Laravel?","What is the freelance market like for Django web development?",0
"312872",312871,31163,48484,"How can I change my profile pic on Quora?","How do you add a profile picture on Quora?",1
"312916",312915,24212,42276,"How can I become a porn star?","How can I be a porn actor?",1
"313880",313879,438505,438506,"How much does it cost to replace a septic tank?","Why do we need partitions in septic tanks?",0
"314665",314664,227851,174203,"Why is RBI not issuing new 1000 Rupees notes?","Why did RBI introduce 2000 rupee notes?",1
"315534",315533,99657,440445,"How do I know whether someone read my message on Instagram or not?","How do I know if someone has read my messages on wickr?",0
"315762",315761,440703,440704,"How much time should you spend sitting in front of a computer at most?","How much time does popular CEOs spend in front of computer screen?",0
"315861",315860,440807,440808,"What does camel meat taste like, and do any cultures eat it regularly?","Why don't Westerners eat dog meat?",0
"316879",316878,441995,441996,"How can I join Elon Mask Mission as software engineer?","How can recover my Facebook pasword when I dont have acses at my email?",0
"316890",316889,81950,317089,"Is it preferable to have tablet on stomach ache after consuming","Why are some tablets meant to be taken on an empty stomach while others after meal?",0
"317198",317197,65646,116077,"Are white people more nationalistic than other cultures?","When will the EM drive be disproved?",0
"317254",317253,442430,442431,"What were you in prison for?","How were prisoners treated in ancient Rome?",0
"317505",317504,442710,442711,"How different is the life in the Indian cities from Pakistani cities?","How different is life in the Pakistani cities from Indian cities?",1
"317855",317854,231407,443128,"What are the similarities between gymnosperms and angiosperms?","What is angiosperms in plants?",0
"317912",317911,71676,54772,"What is the reason behind replacing cyrius mistry from Tata sons?","What are the prospect reasons of Cyrus Mistry being fired by TATA sons?",1
"318227",318226,443540,443541,"I've taken a drop for NEET 2017 & joined Aakash. Apart from NCERT and Aakash material, which ""good"" reference books should I buy for MCQ?","Is aakash chemistry package sufficient for neet?",0
"318276",318275,443601,443602,"How can I astral project or lucid dream?","What is the difference between lucid dreaming and astral projection?",0
"319236",319235,22166,444649,"Would it be a form of child abuse to force a child to carry around a belt whenever in public as a reminder of what will happen if they misbehave?","What is it like to spend a lot of time alone as a child?",0
"319383",319382,123951,62064,"How should I write my first blog post?","How do I start a blog and what are the best blogging platforms available?",0
"319504",319503,66275,323779,"Can someone help me hack my gmail account?","How do I hack a Gmail account?",1
"319602",319601,445047,445048,"How can I draw the graphic of [math]y=\sqrt{2}[/math]?","How do I draw graphics in c++?",0
"319855",319854,445340,445341,"I am very emotional. I get hurt even if someone cracks a joke about me. What should I do to overcome this?","What is an addictive personality? How can this be developed?",0
"320236",320235,445766,445767,"Could we write a c program to open a Twitter API and save all tweets in a file?","What are some fun things to do at a pool party?",0
"321076",321075,4367,6275,"What do you think about banning 500 and 1000 rupee notes in India?","What do you think of the decision by the Indian government to demonetize 500 and 1000 rupee notes?",1
"321371",321370,279692,287791,"How can I fly?","How do I fly?",1
"321618",321617,447331,129190,"What is one thing you would change about yourself if you could?","What is one thing you would never change about yourself?",0
"321704",321703,447422,447423,"Where can I find a pdf file of elementary principles of chemical processes 4th edition?","Where can I find a torrent/PDF of Elementary Principles of Chemical Processes 4th edition?",1
"321963",321962,447733,447734,"How can I be a good dentist in Melbourne?","What is a good dentist in Melbourne?",0
"322739",322738,448601,448602,"Has anyone tried to create a website via crowdfunding?","Do crowdfunding websites allow people to use them for setting up fake cults or pseudoscientific projects?",0
"322899",322898,372654,448784,"How do I prepare for XAT in 1 month?","How do I prepare XAT exam in one month?",1
"322932",322931,38746,448821,"How legit is thedartmouth.com?","How legit is bforex.com?",0
"322979",322978,448885,448886,"What does it mean to have feelings of emptiness as a person with borderline personality disorder?","Why does it say that Borderline personality disorder is characterised by intense emotions and also feelings of emptiness?",1
"324044",324043,450084,450085,"What are the best GATE coaching centers for electrical engineering stream in Bangalore?","What is the best institute for GATE Coaching in Banglore for the electrical stream?",1
"325245",325244,451459,451460,"When is latent heat positive?","What is latent heat?",0
"325483",325482,451733,451734,"I am being terminated from my current job in CYIENT Ltd. Will I get reason for termination in written?","Currently I am pursuing a BE in civil engineering and planning to do an MS from the US but I am confused that after completing an MS I will ever get job there since the US is a developed country and I will never be able repay the loan that my parents have taken for my study or I will have to come back to India?",0
"325768",325767,452027,452028,"What is it like to snuggle at a ""snuggle house""?","What is the best way to snuggle?",0
"325773",325772,291534,222453,"What is the best way to reheat cooked lobster?","How do I cook and eat a lobster?",0
"326294",326293,452585,452586,"How do swimmers during the backstroke race know where the end is?","Do employees at Krispy Kreme Doughnut have a good work-life balance? Does this differ across positions and departments?",0
"326359",326358,452664,452665,"How long does it usually take to recover from a quarrel with close friends?","How long does it take you recover mentally from meth addiction?",0
"327315",327314,152316,71605,"Which is the best android device to buy under ₹15000?","What are the best smartphones under 15000?",1
"327600",327599,73491,454038,"Why do some people not like animals?","Why don't most people like anime?",0
"328394",328393,454915,454916,"What is faith? How do you define your faith?","What is faith and how do you define it?",1
"328413",328412,454943,454944,"Who are the influential Filipino leaders most Filipinos follow?","I want to invest 300000 rupee what is the best business for me?",0
"328435",328434,36393,23511,"How important should sex be in a relationship?","Is sex really that important in maintaining long term happy relationship?",1
"329290",329289,455933,455934,"Is it true visiting multiple countries enhance chances applying for US visit visa?","How much money should I have to apply for work visa in USA?",0
"329331",329330,455967,455968,"How do startups estimate future sales?","What should the Director of Sales at a $10MM SaaS startup be paid?",0
"329398",329397,162771,8260,"What is your view on supreme court current decision on playing national anthem before the start of the movie?","Why Supreme Court directed all cinema halls across the country to play the National Anthem before the start of a film?",1
"330517",330516,457308,457309,"Do we really need a 2GB, 3GB or 4GB RAM and Octacores on smartphones? If not, why do these companies make them and put ridiculous prices on them?","Is there any smartphone with 4GB of RAM?",0
"330663",330662,457452,457453,"What is prison like in Japan?","What's prison like in Japan?",1
"331884",331883,458829,458830,"What are the logical fallacies of materialism?","Is ordering someone to do something a logical fallacy?",0
"332432",332431,125820,459423,"What are the differences amongst should, could and would?","What are the differences between ""would you"", ""will you"", and ""do you""?",0
"333283",333282,451787,423398,"What happened in the Vietnam War and how did South Vietnam lose?","Why did South Vietnam lose the Vietnamese war?",1
"334207",334206,461372,461373,"How can you nurture a wisdom plant?","Where does the wisdom of The Godfather come from?",0
"334797",334796,147268,72535,"What are the pros of anal sex?","Can all women have anal sex?",0
"335319",335318,85817,233688,"Do you believe in God? Why or why not?","Do you believe in God? Why, or why not?",1
"335403",335402,45466,8475,"Why do some people think that the Earth is flat when it is very clear that it is not?","Why do some people still think the Earth is flat?",1
"336813",336812,83297,121724,"Why is the change an important Apache tribe symbol? What does it mean?","Why is the eye an important Apache tribe symbol? What does it mean?",0
"336993",336992,464402,464403,"What is the Navy Corpsman ""C"" school?","What is a Navy Corpsman?",1
"339872",339871,211313,47552,"What are the things that make Indian sad?","India: What are things that make Indians sad?",1
"340029",340028,467725,467726,"What percentage of votes in the 2016 U.S. Presidential race will go to third party candidates?","How well could third party candidates do in the upcoming (2016) U.S. presidential elections?",1
"340397",340396,6912,50341,"What will be the effect in the economy of China if Indians boycott all the Chinese products?","How's Indian economy and Chinese economy is affected if it closes China product in Indian market?",1
"341410",341409,207161,386666,"What's the best way to get a good deal on a car?","How do I get the best deal when buying a car?",1
"341458",341457,469287,469288,"How has the average weight of a human changed over the last centuries?","What is the average weight for a human, and how has this changed over the last centuries?",1
"342403",342402,210110,470382,"What is hike?","What is your hiking experience?",0
"342730",342729,470754,30140,"Is it possible to crack Wi-Fi passwords?","How do I crack the Wi-Fi password?",1
"343045",343044,319,28443,"Why nobody answer my questions in Quora?","Why doesn't everyone I ask to answer a question answer it on Quora?",1
"343408",343407,471525,471526,"What is your review of There Be Dragons (2011 movie)?","What is your review of Age of the Dragons (2011 movie)?",0
"343578",343577,471721,471722,"Where in the US am I safe from a nuclear attack?","How will India survive nuclear attack from Pakistan?",0
"344107",344106,472290,186458,"How many pages is 2000 words typed?","How many words on a standard typed page on average?",0
"344154",344153,472345,472346,"What are the biggest internet companies in the UK?","How can NetEase beat Sohu to become the biggest comprehensive Internet company?",0
"344300",344299,83233,60701,"Why can’t I delete my own Quora question?","How do I delete a question on Quora application?",1
"344505",344504,472739,472740,"What are the differences and similarities between Avatar and Pocahontas?","On a scale of 1 to 10, how hot do you think Pocahontas from ""Disney's Pocahontas"" is?",0
"344554",344553,472790,64445,"How are sex scenes shot in movies?","How are sex scenes in movies shot? As an actor/actress, how is the experience?",0
"345010",345009,473298,22846,"What is the data structure of Quora like?","What is data structures?",0
"345656",345655,473969,473970,"Why does restaurants/food joints add service tax for take away/home delivery bill?","What does the law says for service tax that restaurants charge in home delivery and take aways?",1
"345916",345915,16280,70521,"Why is Donald Trump running for president?","What made Donald Trump run for president?",1
"346287",346286,107946,52589,"Which is most beautiful place to visit, in Kerala?","Which place is good for trip in Kerala?",1
"346337",346336,272972,183282,"Why is the voltmeter connected parallel and the ammeter connected in a series all the time?","What happens when we connect a voltmeter in a series and an ammeter in a parallel to the supply? Will both be damaged or not? Or will only the ammeter or voltmeter be damaged?",0
"346556",346555,474932,474933,"What are the most important skills for leadership?","What are the most important skills for good leaders?",1
"346710",346709,252813,475091,"What are some lesser-known sights to see when visiting Chillán, Chile?","What are some lesser-known sights to see when visiting Temuco, Chile?",0
"346963",346962,471808,475371,"What is the best Washing machine brand, in India?","What are the best industrial application washing machines? Where can I buy them in India?",0
"348731",348730,130893,106080,"What is a good first programming language?","What's a good and easy programming language to learn?",1
"349087",349086,477724,477725,"What is it like to be a second wife?","What is it like to have a second wife?",0
"349927",349926,478642,478643,"Has Narendra Modi brought ""achhe din (the Good Days)""?","It was said that ""acche din aane wale hain"" (good days are on the way) if Narendra Modi becomes the Prime Minister of India. Why is it that day-by-day the cost of living is increasing in every way from daily expenses to the railway budget?",0
"350390",350389,205908,438844,"What is the future of solar energy?","Why is solar energy a renewable source?",0
"350392",350391,143248,479122,"What are some of the best dialogues written by Trivikram Srinivas?","What are the best dialogues of Shiva Raj Kumar?",0
"351280",351279,298700,334806,"How do I use Jio 4G sim in my 3G windows phone?","Can I use an upgraded Vodafone 4G SIM in my 3G phone?",0
"351478",351477,480318,480319,"X-Men (creative franchise): What are Cyclops' powers?","What are Bishop's actual powers in X-Men?",0
"352346",352345,332474,464598,"How do I grasp more information in less time?","How do I learn more in less time?",1
"352733",352732,481681,481682,"Who is the best ENT surgeon in the Bay Area for deviated septum?","Is there a list of good ENT surgeons in the South Bay?",0
"352786",352785,481746,481747,"What should I know while disputing a charge from Chase Bank?","How do banks make money from prepaid card?",0
"354110",354109,483199,483200,"Why do I have red bumps on my gums? How can this be treated?","How can I get Certificates / IDs for my wife who does not have any proof of Identity except the Marks sheets?",0
"354531",354530,175887,219030,"Would you buy a robot chef?","When you don't have time to cook, would you cheat and use a robot chef?",1
"354651",354650,483794,483795,"How trustable are the Wikileaks emails regarding Clinton?","Why is Wikileaks so pro-Trump and anti-Clinton?",0
"355078",355077,160239,281493,"Should I use Whey protein or mass gainer to gain muscle as a hardgainer?","What Should I use a mass gainer or protein supplementry to gain muscles?",1
"355253",355252,918,27762,"Daniel Ek: When an we expect Spotify in India?","When will Spotify arrive in India?",1
"355413",355412,484640,484641,"If you wore a magnetic suit and jumped down a tube made of copper, would you glide down?","How do I erase a Gmail account from another phoned?",0
"355501",355500,7646,15825,"How do I delete Quora Account with all answers and questions also removed?","How do I unsubscribe and delete my Quora account?",1
"355533",355532,201236,484778,"How do you calculate the carbon footprint of a machine?","Can digital technology cut down our carbon footprint?",0
"355605",355604,484844,484845,"How does an atheist define spiritual health?","Are atheists and agnostics illogical regarding the spiritual realm?",0
"355915",355914,485156,485157,"What are gold reserves for?","What is gold reserve?",1
"355929",355928,485174,485175,"How many devices are available on the network address: 177.56.42.0/25?","How many devices are available on the network address: 177.56.42.0/26?",0
"356785",356784,270741,6021,"How do I get cash from a credit card with no card?","How do I get cash off a credit card without the card?",1
"357292",357291,32781,33552,"How can I make money from YouTube?","How can I make money through YouTube?",1
"357451",357450,17798,486861,"What do you get when you rearrange the letters LNGEDNA?","How do I get X and Y coordinates of English alphabet letters?",0
"359456",359455,489114,489115,"In PHP, what variable holds the value of data sent to the server?","How much data do the Quora servers hold currently? What is the rate of growth of this data?",0
"359652",359651,489331,489332,"I have MBA degree from an ordinary college. What is the way for me to get a job in famous MNC?","How can I get a high paying job after MBA from a low grade private college?",0
"360049",360048,489778,489779,"What are the differences between community college and University college?","What are the differences between college and community college?",1
"360055",360054,489787,489788,"Should I quit Quora if it makes me feel incorrigibly inferior when looking at other Quora users' profiles?","How intrusive is Quora when looking at your profile?",0
"360193",360192,278785,233118,"Is Naruto Shippuden dubbed in English on Crunchyroll?","Has Naruto Shippuden been dubbed in English? Why?",0
"361370",361369,102076,491201,"How can I lower my body fat, while gaining lean muscles at the same time?","How can I drop my body fat percent quickly?",0
"361430",361429,491277,491278,"What are some interesting facts about Jurgen Habermas?","How influential is Jurgen Habermas to sociology?",0
"361691",361690,96142,215768,"What is the best poem that you have ever written?","What is the best poem or lines of poetry you have ever written?",1
"362149",362148,414911,492049,"What is the mind?","What is really the mind?",1
"362621",362620,492535,492536,"Why do chairlifts stop working?","Will GRE score of 294 with CGPA of 8.81 be sufficient for computer engineering?",0
"362721",362720,19012,492646,"How do I explain to my boyfriend that I feel sad that he didn't get me a birthday present without sounding petty?","I feel sad for that my boyfriend doesn't talk to me and it is difficult for me to play with his friends. What should I do?",0
"363202",363201,493163,189877,"Is Facebook software object oriented?","What is object-oriented programming?",0
"363251",363250,493223,493224,"What comedy movies resemble the style of Monty Python?","What are some good black comedy movies?",0
"363260",363259,387636,378463,"What happens if I accidentally follow someone I've blocked?","What happens when I accidentally follow someone I've blocked?",1
"363568",363567,493567,493568,"What causes a tongue to turn black after vomiting?","What are some causes of waking up with a black tongue?",0
"364667",364666,494736,494737,"How do I add unlimited lives, coins and moves in my Cookie Jam Game account?","I love playing Cookie Jam. Are there any hacks available for having Cookie Jam Coins?",0
"364959",364958,495040,495041,"What does it take to become a rocket scientist?","How do I become a rocket scientist?",0
"365309",365308,106325,200807,"Why is Hillary Clinton losing?","Why is Hillary Clinton losing polls again?",1
"365356",365355,495452,45231,"Why were most early PC towers beige?","Is a Mac or Windows better for a CS student or developer?",0
"365604",365603,495718,495719,"Explain about v and inverted curves of synchronous motor?","Which is easier to metabolize: a sugary drink or a sugary food?",0
"365992",365991,496128,496129,"Why do I get so many ulcers in my mouth?","Why do we get ulcers in the mouth?",1
"366287",366286,496474,471137,"Could I give a compartment exam after 3 years of giving my board exams?","I have one compartment in maths this year. I am from the 12th CBSE board. If I give it, can I give improvement exam of 5 papers next year? Will I be eligible for the JEE Mains and Advanced?",0
"366979",366978,126205,497237,"How would anarchism work?","How does anarchim work?",1
"367356",367355,389350,497625,"Which crimes should require a death penalty?","What are some crimes that result in the death penalty?",1
"367732",367731,498040,498041,"What is the actual use of Betnovate-n skin cream?","What is the actual use of Betnovate-C skin cream?",0
"367771",367770,498088,498089,"Why does cooling water change its density?","After big data which is next evolving technology?",0
"370682",370681,501255,121023,"What are the different kinds of self-harm?","What are the different kinds of self harm?",1
"371789",371788,269317,233024,"What is the output of this program? ?","What is the output of this program?",0
"371926",371925,502595,502596,"Which salary act is applicable on schools?","How do people get rich in online casinos?",0
"372150",372149,502844,408800,"What percentage of applicants get jobs at Google, Facebook, Apple, or Microsoft?","How realistic is asking for a 175k base salary, 20% bonus, and 100K in stock per year at a very successful software corporation in the Bay Area (Google), for a computer science PhD (from a top 5 school) for a research-oriented role?",0
"373007",373006,503766,126155,"Why do people celebrate festival?","Why do we celebrate our birthdays?",0
"373101",373100,68641,152498,"In the eventuality of war between Russia and the USA, what shall be the outcome? Who shall be victorious?","Who would win in a war between Russia and the US?",1
"373193",373192,16462,93312,"How can I improve my communication and verbal skills?","How can I learn communication skills?",1
"373923",373922,41307,187176,"When will tqwl get confirmed?","What happens if a waiting list e-ticket does not get confirmed?",0
"373996",373995,504851,504852,"Why is Angela Merkel so liberal on the issue of migrants, but so conservative on other issues such as gay marriage?","What is the best/easiest solution to copy/clone windows 10 application?",0
"374424",374423,59,24712,"How should I prepare for CA final law?","What is the best way to prepare for CA final ISCA?",1
"375048",375047,506033,506034,"What advice do you have for me?","What advice do you have for others?",0
"375258",375257,496252,139179,"Will life get better eventually?","Does life get better with time?",1
"376590",376589,58139,284141,"What are the differences between Android and iOS?","What are the differences between Android and iOS? What are their similarities?",1
"376971",376970,508193,508194,"Is there any stockbroker in India who has in-house trading platforms apart from Fyers?","Apart from Fyers, does any other stockbroker in India specialize in building unique investment platforms?",1
"377611",377610,123878,204201,"What's white privilege?","What is white skin privilege?",1
"379558",379557,115091,397625,"Is www.filmskills.com a scam?","Is asknerdy.com a scam?",0
"380055",380054,511637,511638,"A disc is spinning on a spindle, and you don't know which way. You are given a set of pins. Describe how you would use them to determine which way the disc is spinning?","Why don't C++ arrays have an easy way to check their size?",0
"380266",380265,511873,511874,"How do you reset your Motoblur?","How can you reset a Motoblur?",1
"380466",380465,512079,512080,"Why do certificates do not have photographs?","Why certificates do not have photographs?",1
"380596",380595,402428,62579,"How can I become a millionaire on Amazon? What products can I sell between 150 to 350?","How can I become a millionaire on Amazon? What products can I sell between 150 to 250?",1
"380743",380742,512391,512392,"As a graphic design student what should I charge for freelancing if I want to charge per project rather than hourly?","Can I play a 5.1 movie though 2.1 speakers?",0
"380990",380989,93372,512672,"Would gold be the only long term sound investment once US interest rate has been normalized?","Would it be smarter to invest time and money in day-trading or long-term investing?",0
"382401",382400,296167,63377,"Is it unhealthy for a teenager to drink 1 cup of coffee a day?","How many cups of coffee a day can a person drink?",0
"382620",382619,514491,54534,"Career advise: GATE vs UPSC, considering I'm good for both, passionate about both, know my way in both fields.?","What movie can you watch all the time and never get tired of watching?",0
"382734",382733,514616,514617,"How long does an egg take to develop inside of a chicken before it is laid?","Which breeds of chickens make the most unusual eggs?",0
"382796",382795,20658,52518,"What mental disorders are depicted in Winnie the Pooh?","What mental disorders did Tesla have?",0
"382807",382806,70151,514696,"How does DC++ work?","How is the DC++ in BITS Goa, Hyderabad, and Pilani?",0
"382834",382833,514719,514720,"What are your favorite online fashion startups?","What are some of the best fashion startups existing today?",0
"383044",383043,514954,514955,"What are the chances of Tottenham winning the 2016–17 Premier League?","What are the possibilities of Arsenal winning the Premier League?",0
"383231",383230,515167,368724,"How do I have sex for the first time as a guy? Should I do it like in porn?","What is it like for a guy to have sex for the first time?",0
"383248",383247,45069,40673,"How did we get a picture of the Milky Way Galaxy?","How is the picture of our Milky Way galaxy taken from the outside if we are inside the galaxy?",1
"383398",383397,232201,5894,"Can you still get pregnant one day before menstruation?","Can you get pregnant one day before ovulation?",1
"383428",383427,515371,206877,"Of the English speaking nations, who speaks it most correctly?","How can I speak English smoothly without any coaching?",0
"384434",384433,516470,152526,"What are all the advantages a schedule caste has in India?","What are the things that do not matter in life?",0
"384440",384439,31998,516476,"How do you delete your Kik account?","How can you hack Kik account?",0
"385184",385183,422856,58310,"What do I have to do to love myself?","I don't love myself, what should I do to love myself?",1
"385271",385270,258240,517390,"Why is my microwave not heating up?","How do I dump someone who still likes me when I don't feel the same if we've only been dating 8 days?",0
"386087",386086,518252,518253,"What do Azerbaijanis (both from Iran and Azerbaijan) identify more with: Persian or Turkic culture?","What causes increasing nationalism towards their own ethnicity among Azerbaijanis in Iran?",0
"386628",386627,518851,518852,"Why do people enjoy watching reality TV — especially given that it's often fake?","Why do we watch reality television?",0
"387506",387505,421118,45773,"What is the best way to make money as a 15 year old?","How can I make money as a 15 year old?",1
"387580",387579,519898,18300,"What's new with Donald Trump and Hillary Clinton today?","Could Donald Trump be a Democratic plant? Is he trying to help Hillary Clinton?",0
"388301",388300,187948,86825,"Why do Quora users write their own questions?","On Quora, can you answer your own question? Is it bad form to answer your own question?",0
"390388",390387,7682,54533,"What are the best places to visit in Kerala?","Which places should be visited while travelling to Kerala?",1
"390456",390455,522960,172274,"Will Quora Members make New Year's resolutions for 2012, and if so what do they resolve for the coming year? If not, why not?","What are your New Year's resolutions for 2016?",0
"390557",390556,5455,523078,"What is the difference between CSE and IT engg?","What is basic difference between CSE & IT branch course?",0
"390946",390945,115373,523507,"How will Donald Trump make Mexico pay for the wall? Why does it make sense that Mexico will pay? Will Mexico do it?","If Mexico doesn't pay for the wall, will it still be built? Would Trump get a pass if Mexico refuse to pay?",0
"391146",391145,70390,523709,"Why do I feel like crying but can't?","Why do I feel like crying when I sit idle?",0
"391309",391308,523885,392633,"What is best coaching for CA IPCC in Kolkata?","What are some of the best coaching centres for CA IPCC?",0
"391568",391567,455095,524159,"Does China manipulate its currency? What is its impact?","Why do Americans get upset at China's ""currency manipulation""?",0
"391695",391694,524299,524300,"How do i get NBA 2K17 Redeem Code?","How do I get FIFA 17 Redeem Code?",0
"392934",392933,399248,525676,"What is the average salary of an OR nurse?","What is the average salary for a flight nurse?",0
